epoch,train_loss,train_binary_loss,train_entity_loss,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_routing_feasible,val_routed_fraction,val_prefilter_recall,epoch_seconds
1,1.609147,0.707031,0.902115,0.981203,0.944444,0.962264,0.953271,0.966879,True,0.0,0.990566,302.93
2,0.383518,0.125283,0.258235,0.986842,0.954128,0.981132,0.967442,0.995855,True,0.0,0.990566,341.77
3,0.126575,0.024173,0.102402,0.990602,0.963303,0.990566,0.976744,0.99615,True,0.0,1.0,360.33
4,0.056292,0.005577,0.050715,0.992481,0.963636,1.0,0.981481,0.996408,True,0.0,1.0,371.99
5,0.036076,0.001144,0.034933,0.992481,0.963636,1.0,0.981481,0.99549,True,0.0,1.0,424.55
