epoch,train_loss,train_binary_loss,train_entity_loss,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_routing_feasible,val_routed_fraction,val_prefilter_recall,epoch_seconds
1,2.064228,1.161892,0.902336,0.957143,0.827586,0.857143,0.842105,0.896508,True,0.27619,1.0,998.5
2,0.821585,0.339259,0.482326,0.966667,0.888889,0.857143,0.872727,0.943174,True,0.252381,1.0,1078.7
3,0.560639,0.248401,0.312238,0.990476,1.0,0.928571,0.962963,1.0,True,0.0,1.0,836.82
4,0.357204,0.141693,0.215511,0.995238,1.0,0.964286,0.981818,0.998768,True,0.0,1.0,840.1
5,0.231275,0.054278,0.176997,0.995238,1.0,0.964286,0.981818,1.0,True,0.0,1.0,848.65
