epoch,train_loss,train_binary_loss,train_entity_loss,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_routing_feasible,val_routed_fraction,val_prefilter_recall,epoch_seconds
1,2.215132,1.065301,1.149831,0.952381,1.0,0.666667,0.8,1.0,True,0.0,1.0,35.82
2,1.170904,0.27579,0.895114,1.0,1.0,1.0,1.0,1.0,True,0.0,1.0,38.89
3,0.512321,0.027386,0.484936,1.0,1.0,1.0,1.0,1.0,True,0.0,1.0,43.3
4,0.336964,0.009621,0.327343,1.0,1.0,1.0,1.0,1.0,True,0.0,1.0,42.65
5,0.318657,0.006445,0.312212,1.0,1.0,1.0,1.0,1.0,True,0.0,1.0,46.78
6,0.334382,0.012481,0.321901,1.0,1.0,1.0,1.0,1.0,True,0.0,1.0,48.11
7,0.218475,0.007633,0.210842,1.0,1.0,1.0,1.0,1.0,True,0.0,1.0,47.53
8,0.255221,0.008647,0.246573,1.0,1.0,1.0,1.0,1.0,True,0.0,1.0,48.68
